Date,ADBL,EBL,CZBIL,GBIME,HBL,KBL,MBL,NABIL,NBL,NICA,NIMB,NMB,PRVU,SANIMA,SBI,SCB
2025-07-27,332.03,744.89,230.68,263.14,238.95,222.25,260.59,547.84,301.81,400.35,235.09,272.51,230.81,381.53,431.36,666.72
2025-07-28,328.3,734.23,228.87,263.49,235.43,220.91,260.11,539.63,297.96,393.42,233.67,271.06,230.37,376.59,426.68,658.69
2025-07-29,335.35,736.48,235.44,270.86,241.78,226.87,265.35,548.55,300.97,400.89,242.64,272.5,245.34,389.28,442.63,665.98
2025-07-30,332.08,722.16,232.31,266.87,238.13,223.24,260.17,545.18,297.35,390.2,236.58,268.3,241.83,383.86,432.85,660.12
2025-07-31,332.18,717.09,228.0,261.61,233.36,220.44,255.87,536.48,293.73,386.43,232.44,264.88,237.89,375.2,425.62,650.71
2025-08-03,326.37,711.01,222.09,254.47,227.16,217.35,246.86,524.4,285.69,381.91,226.06,257.61,230.8,367.67,415.64,637.64
2025-08-04,327.91,716.91,225.14,259.37,232.99,220.45,257.26,527.97,290.45,395.76,229.8,263.19,234.65,368.62,423.67,657.74
2025-08-05,325.0,710.0,222.1,255.0,229.0,215.9,259.8,527.9,287.6,386.2,226.9,262.0,231.5,366.5,419.1,645.0
2025-08-06,327.8,705.66,220.66,254.26,228.92,215.01,258.1,525.93,286.4,385.51,225.57,261.71,229.93,364.84,414.83,643.09
2025-08-07,326.85,707.57,224.8,255.42,228.44,216.09,257.62,527.36,291.08,384.68,225.35,263.24,231.4,369.57,417.07,643.93
2025-08-12,330.97,709.49,215.33,254.28,221.07,208.3,253.21,524.86,283.06,376.92,220.74,259.27,218.72,369.16,410.01,639.98
2025-08-13,330.48,715.14,212.95,251.53,217.55,205.94,250.95,523.63,282.92,370.48,218.41,254.15,217.88,368.57,406.22,639.32
2025-08-14,332.45,715.69,211.37,250.95,216.11,204.94,251.77,523.82,266.21,365.66,216.15,252.33,218.42,367.83,394.34,637.46
2025-08-17,334.66,719.87,209.91,249.41,213.44,201.43,248.87,521.21,256.1,348.64,211.63,246.41,214.08,366.09,390.67,628.26
2025-08-18,337.68,725.71,210.36,250.66,213.81,201.65,250.67,518.95,255.17,348.23,212.78,246.36,214.99,365.9,389.14,624.57
2025-08-19,335.67,734.54,210.43,252.04,216.12,203.37,248.07,518.81,257.68,350.65,213.3,248.05,215.76,368.62,390.71,629.28
2025-08-20,332.5,739.14,208.69,250.66,214.23,202.14,249.75,518.81,256.2,351.12,212.62,251.52,214.2,367.12,387.89,627.42
2025-08-21,329.26,747.77,208.23,252.01,213.02,201.85,247.29,518.14,255.6,348.38,212.08,249.51,212.86,367.43,385.29,626.12
2025-08-24,326.2,732.96,207.11,250.2,210.03,200.69,245.99,513.56,254.41,343.56,209.05,249.27,209.37,365.39,382.98,625.35
2025-08-25,326.49,742.98,209.55,251.52,210.16,201.39,247.02,522.58,253.97,344.34,210.2,249.79,210.71,364.75,385.37,622.83
2025-08-26,326.28,748.45,207.14,250.64,208.48,201.07,246.64,529.35,251.55,344.53,209.31,249.92,210.68,368.17,386.84,626.45
2025-08-27,331.31,751.56,211.08,255.29,211.27,203.93,252.18,533.87,255.1,351.44,213.18,253.27,213.77,371.23,394.1,631.31
2025-08-28,327.55,747.67,209.24,251.62,209.59,200.22,250.5,528.86,253.1,351.32,209.83,250.61,212.33,369.2,390.82,630.26
2025-08-31,323.22,751.71,206.15,249.06,205.24,196.83,248.64,520.84,250.33,346.46,207.35,249.32,209.7,366.06,391.09,634.1
2025-09-01,327.47,765.33,208.78,251.35,206.09,201.52,250.73,527.66,251.65,350.02,209.77,253.45,212.48,372.3,394.26,659.97
2025-09-02,325.5,761.41,207.14,251.15,202.43,197.79,251.01,523.75,250.64,345.15,208.78,253.8,209.33,373.72,396.48,661.75
2025-09-03,324.08,750.39,206.36,249.89,202.56,197.58,251.04,519.88,249.66,344.79,209.38,251.96,208.78,373.05,390.92,654.46
2025-09-04,324.71,741.06,206.53,249.71,203.83,197.67,251.34,517.58,249.39,344.18,209.32,249.85,208.47,371.92,386.05,651.75
2025-09-07,321.11,723.88,205.98,247.56,202.38,197.13,251.23,514.87,248.75,341.54,207.7,249.68,208.04,369.68,392.44,642.44
2025-09-08,317.16,711.56,204.53,244.98,200.55,194.38,248.37,513.15,246.21,339.78,205.25,245.86,205.36,365.16,384.49,631.7
